
2024/07/25 (17:58:10) | ===> btop++ v.1.3.2
2024/07/25 (17:58:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/25 (18:02:15) | ===> btop++ v.1.3.2
2024/07/25 (18:02:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/25 (22:27:06) | ===> btop++ v.1.3.2
2024/07/25 (22:27:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/25 (22:27:06) | ===> btop++ v.1.3.2
2024/07/25 (22:27:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/26 (10:46:58) | ===> btop++ v.1.3.2
2024/07/26 (10:46:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/26 (10:46:58) | ===> btop++ v.1.3.2
2024/07/26 (10:46:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/26 (18:29:30) | ===> btop++ v.1.3.2
2024/07/26 (18:29:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/26 (18:29:30) | ===> btop++ v.1.3.2
2024/07/26 (18:29:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/26 (18:29:35) | ===> btop++ v.1.3.2
2024/07/26 (18:29:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/26 (20:32:50) | ===> btop++ v.1.3.2
2024/07/26 (20:32:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
